"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-01",,,"0.00",,,"75","38","47"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-02",,,"0.00",,,"68","40","49"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-03",,,"0.00",,,"70","41","49"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-04",,,"0.00",,,"74","42","64"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-05",,,"0.00",,,"76","51","54"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-06",,,"0.76",,,"58","40","43"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-07",,,"0.00",,,"57","32","45"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-08",,,"0.00",,,"66","35","46"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-09",,,"0.00",,,"68","38","50"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-10",,,"0.45",,,"55","45","48"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-11",,,"0.05",,,"53","40","43"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-12",,,"0.00",,,"56","41","45"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-13",,,"0.00",,,"64","36","49"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-14",,,"0.00",,,"65","40","55"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-15",,,"0.00",,,"64","43","48"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-16",,,"0.05",,,"55","42","46"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-17",,,"0.00",,,"57","35","43"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-18",,,"0.00",,,"52","31","41"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-19",,,"0.12",,,"52","39","42"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-20",,,"1.05",,,"50","41","42"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-21",,,"0.09",,,"51","41","44"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-22",,,"0.00",,,"54","32","42"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-23",,,"0.00",,,"55","31","40"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-24",,,"0.00",,,"54","32","41"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-25",,,"0.00",,,"53","31","41"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-26",,,"0.00",,,"62","40","49"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-27",,,"0.70",,,"55","32","46"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-28",,,"0.00",,,"52","35","42"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-29",,,"0.00",,,"54","38","47"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-30",,,"0.00",,,"56","36","42"
"USC00040343","ASH MOUNTAIN, CA US","1927-01-31",,,"0.00",,,"59","33","44"
