year(rtime_ssp5),Tann,dt
1850,299.842390092535,1850
1851,299.63478907832393,1851
1852,299.6065164174295,1852
1853,299.38040551593406,1853
1854,299.55617849433463,1854
1855,299.86413163207595,1855
1856,299.96694314359416,1856
1857,299.4285798249421,1857
1858,299.36491894962813,1858
1859,299.23178316366796,1859
1860,299.6596725669373,1860
1861,300.115301112936,1861
1862,299.29489618680293,1862
1863,299.4024747598051,1863
1864,299.3082100454003,1864
1865,299.5522697012031,1865
1866,300.01209942339244,1866
1867,300.269257131249,1867
1868,299.70030602862937,1868
1869,299.2694723212759,1869
1870,299.13768945559104,1870
1871,299.77900811397666,1871
1872,300.1134752215761,1872
1873,299.2405072350293,1873
1874,299.0127250080558,1874
1875,299.6104386968645,1875
1876,299.60739056108775,1876
1877,299.86238388421157,1877
1878,299.71745161576706,1878
1879,299.32729650426796,1879
1880,299.3057550244058,1880
1881,299.64639081858627,1881
1882,299.72646963716755,1882
1883,299.4939798682627,1883
1884,299.5899632001164,1884
1885,300.31094103469593,1885
1886,299.3171534682765,1886
1887,299.2515121100326,1887
1888,299.3877628981465,1888
1889,299.915597215646,1889
1890,300.1368553855202,1890
1891,299.2034163555312,1891
1892,299.1753721397734,1892
1893,299.65474700927734,1893
1894,299.45287854743725,1894
1895,300.1900817665588,1895
1896,299.4685261273625,1896
1897,299.2728106823032,1897
1898,299.60361770989516,1898
1899,299.29209637882735,1899
1900,299.45568446920373,1900
1901,299.73780149723143,1901
1902,300.1272735081939,1902
1903,299.9413616039135,1903
1904,299.30514932240703,1904
1905,299.195631727225,1905
1906,299.5893685697305,1906
1907,299.88781668923116,1907
1908,299.6426844484477,1908
1909,299.77955730194196,1909
1910,299.9690907796224,1910
1911,299.9757827090896,1911
1912,299.7899389299078,1912
1913,300.1333739412353,1913
1914,299.56171715219415,1914
1915,299.06668481280906,1915
1916,299.5704812457666,1916
1917,300.0672931093158,1917
1918,299.3926043783374,1918
1919,298.9632153751874,1919
1920,299.4800849426475,1920
1921,299.53139539519543,1921
1922,299.6015440044981,1922
1923,299.85807050197616,1923
1924,300.0185595939456,1924
1925,299.52054955582025,1925
1926,299.3022997307055,1926
1927,299.5668529420589,1927
1928,299.94797914036195,1928
1929,299.8933772591228,1929
1930,299.7444670449202,1930
1931,299.49327806671863,1931
1932,299.4809226347541,1932
1933,299.5068068841491,1933
1934,299.4966172754564,1934
1935,299.7171889796401,1935
1936,299.9904307612666,1936
1937,299.7045628711431,1937
1938,299.6819225786511,1938
1939,299.53943238434965,1939
1940,299.9994301073479,1940
